r,model,larch,diff
2.116893487282185e0,6.270260751879652e0,6.268138522373226e0,2.122229506426265e-3
2.147573103039898e0,6.867263310077354e0,6.864127140187117e0,3.136169890237461e-3
2.178252718797611e0,7.341657940473750e0,7.337796974752131e0,3.860965721619536e-3
2.208932334555323e0,7.668105766896247e0,7.663877573900280e0,4.228192995967106e-3
2.239611950313036e0,7.828910881223161e0,7.824702295865397e0,4.208585357763361e-3
2.270291566070749e0,7.815380128324236e0,7.811564089002631e0,3.816039321605125e-3
2.300971181828462e0,7.628484177394842e0,7.625378240483578e0,3.105936911263818e-3
2.331650797586175e0,7.278752927700362e0,7.276584927693196e0,2.168000007165993e-3
2.362330413343888e0,6.785416042251986e0,6.784301364735061e0,1.114677516924623e-3
2.393010029101601e0,6.174873245599966e0,6.174806490396769e0,6.675520319721073e-5
2.423689644859313e0,5.478642403777084e0,5.479504053047118e0,-8.616492700346257e-4
2.454369260617026e0,4.730980851390363e0,4.732557220530943e0,-1.576369140579459e-3
2.485048876374739e0,3.966403535449503e0,3.968416095885512e0,-2.012560436009725e-3
2.515728492132452e0,3.217330001740047e0,3.219468385324337e0,-2.138383584289638e-3
2.546408107890165e0,2.512085779377348e0,2.514037462128713e0,-1.951682751365258e-3
2.577087723647877e0,1.873478237876567e0,1.874946591812185e0,-1.468353935618172e-3
2.607767339405590e0,1.318215447794705e0,1.318914615533435e0,-6.991677387302442e-4
2.638446955163303e0,8.577584786193491e-1,8.573622136346003e-1,3.962649847487620e-4
2.669126570921016e0,5.029320903512823e-1,5.009292718792376e-1,2.002818472044643e-3
2.699806186678729e0,2.825445575044073e-1,2.783166476653689e-1,4.227909839038424e-3
2.730485802436442e0,2.516334409306558e-1,2.474268256170372e-1,4.206615313618628e-3
2.761165418194155e0,3.241866232414611e-1,3.218120248983861e-1,2.374598343075018e-3
2.791845033951867e0,3.881081260412073e-1,3.868672855809198e-1,1.240840460287440e-3
2.822524649709580e0,4.186908810763383e-1,4.179776638670318e-1,7.132172093064493e-4
2.853204265467293e0,4.153285142573956e-1,4.146480962657721e-1,6.804179916234943e-4
2.883883881225006e0,3.815591168526635e-1,3.804171695780840e-1,1.141947274579558e-3
2.914563496982719e0,3.218485983784060e-1,3.197292981262581e-1,2.119300252147904e-3
2.945243112740431e0,2.426343069148778e-1,2.390843214536085e-1,3.549985461269334e-3
2.975922728498144e0,5.962709230513221e-34,5.786921330970920e-34,1.757878995423014e-35
3.006602344255857e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.037281960013570e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.067961575771283e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.098641191528996e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.129320807286708e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.160000423044421e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.190680038802134e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.221359654559847e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.252039270317560e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.282718886075272e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.313398501832985e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.344078117590698e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.374757733348411e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.405437349106124e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.436116964863837e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.466796580621549e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.497476196379262e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.528155812136975e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.558835427894688e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.589515043652401e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.620194659410114e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.650874275167826e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.681553890925539e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.712233506683252e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.742913122440965e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.773592738198678e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.804272353956391e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.834951969714103e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.865631585471816e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
