k,model,larch,diff
9.700000000000001e0,-3.611449287476903e-2,-3.612505751102309e-2,1.056463625406096e-5
9.750000000000000e0,-3.335736390018233e-2,-3.335737150533307e-2,7.605150745271239e-9
9.800000000000001e0,-2.899463545265344e-2,-2.898714746713086e-2,-7.487985522580676e-6
9.850000000000001e0,-2.330983715744438e-2,-2.329725107638915e-2,-1.258608105523043e-5
9.900000000000000e0,-1.664438795937510e-2,-1.662736038323953e-2,-1.702757613556219e-5
9.950000000000001e0,-9.377734655647132e-3,-9.354567131054040e-3,-2.316752459309221e-5
1.000000000000000e1,-1.906234233698461e-3,-1.872848172190767e-3,-3.338606150769417e-5
1.005000000000000e1,5.404796025844073e-3,5.427492164462626e-3,-2.269613861855240e-5
1.010000000000000e1,1.218561598088265e-2,1.217902825553127e-2,6.587725351380261e-6
1.015000000000000e1,1.809118499743391e-2,1.805524144004871e-2,3.594355738520405e-5
1.020000000000000e1,2.284677557643648e-2,2.278621937645637e-2,6.055619998010867e-5
1.025000000000000e1,2.624758845940936e-2,2.617062965873060e-2,7.695880067876831e-5
1.030000000000000e1,2.816694316728499e-2,2.808372682602689e-2,8.321634125809871e-5
1.035000000000000e1,2.856006307450270e-2,2.848111496202296e-2,7.894811247973962e-5
1.040000000000000e1,2.746341386219963e-2,2.739821257867673e-2,6.520128352290391e-5
1.045000000000000e1,2.498979150916089e-2,2.494559303993540e-2,4.419846922549056e-5
1.050000000000000e1,2.131957438517801e-2,2.130058386675655e-2,1.899051842145852e-5
1.055000000000000e1,1.668874250884594e-2,1.669569129211092e-2,-6.948783264973390e-6
1.060000000000000e1,1.137441661105415e-2,1.140456359473908e-2,-3.014698368492691e-5
1.065000000000000e1,5.678773702132852e-3,5.726311416106131e-3,-4.753771397327921e-5
1.070000000000000e1,-8.774955312639069e-5,-3.093868396967467e-5,-5.681086915671603e-5
1.075000000000000e1,-5.623050326997990e-3,-5.566371271701225e-3,-5.667905529676501e-5
1.080000000000000e1,-1.064887960315141e-2,-1.060184066582380e-2,-4.703893732761581e-5
1.085000000000000e1,-1.492450796240988e-2,-1.489549275332029e-2,-2.901520908959489e-5
1.090000000000000e1,-1.825788454523655e-2,-1.825299994212069e-2,-4.884603115856007e-6
1.095000000000000e1,-2.051379464524899e-2,-2.053590767384609e-2,2.211302859709760e-5
1.100000000000000e1,-2.161869994351868e-2,-2.166676060250415e-2,4.806065898547290e-5
1.105000000000000e1,-2.159456744137073e-2,-2.163085686820075e-2,3.628942683002456e-5
1.110000000000000e1,-2.046336188770996e-2,-2.047465442990558e-2,1.129254219562476e-5
1.115000000000000e1,-1.830779149142381e-2,-1.830105771378189e-2,-6.733777641921429e-6
1.120000000000000e1,-1.527874343489962e-2,-1.526194409035614e-2,-1.679934454348019e-5
1.125000000000000e1,-1.156741379595174e-2,-1.154841037692295e-2,-1.900341902878744e-5
1.130000000000000e1,-7.393719151377881e-3,-7.379338145569930e-3,-1.438100580795042e-5
1.135000000000000e1,-2.993614388227680e-3,-2.988938879825488e-3,-4.675508402191865e-6
1.140000000000000e1,1.393967988566891e-3,1.386031097737146e-3,7.936890829744877e-6
1.145000000000000e1,5.539847760312932e-3,5.518704446114999e-3,2.114331419793281e-5
1.150000000000000e1,9.236330633997581e-3,9.203547913928561e-3,3.278272006902033e-5
1.155000000000000e1,1.230735804894421e-2,1.226625721756981e-2,4.110083137439345e-5
1.160000000000000e1,1.461659215087088e-2,1.457164282457137e-2,4.494932629951244e-5
1.165000000000000e1,1.607308337682858e-2,1.602917070210778e-2,4.391267472079671e-5
1.170000000000000e1,1.663431069162483e-2,1.659595801810001e-2,3.835267352482463e-5
1.175000000000000e1,1.630653306189144e-2,1.627716503008925e-2,2.936803180219119e-5
1.180000000000000e1,1.514253702068808e-2,1.512386329484178e-2,1.867372584630177e-5
1.185000000000000e1,1.323700136124608e-2,1.322858963079862e-2,8.411730447464502e-6
1.190000000000000e1,1.071981913399835e-2,1.071890850872551e-2,9.106252728385139e-7
1.195000000000000e1,7.747813418178952e-3,7.749397380750424e-3,-1.583962571472496e-6
1.200000000000000e1,4.495352461788444e-3,4.492535878338436e-3,2.816583450008896e-6
1.205000000000000e1,1.138837196242985e-3,1.129009678268843e-3,9.827517974141239e-6
1.210000000000000e1,-2.152754668018069e-3,-2.162096817035537e-3,9.342149017467927e-6
1.215000000000000e1,-5.208840135939520e-3,-5.212481968576560e-3,3.641832637039585e-6
1.220000000000000e1,-7.877395413464744e-3,-7.872854994341653e-3,-4.540419123091194e-6
1.225000000000000e1,-1.003253648615373e-2,-1.001991949450199e-2,-1.261699165173991e-5
1.230000000000000e1,-1.158022119758291e-2,-1.156175306398890e-2,-1.846813359401497e-5
1.235000000000000e1,-1.246204463020979e-2,-1.244136833240152e-2,-2.067629780827009e-5
1.240000000000000e1,-1.265699559306895e-2,-1.263834178303834e-2,-1.865381003061765e-5
1.245000000000000e1,-1.218115620660958e-2,-1.216849891701549e-2,-1.265728959408755e-5
1.250000000000000e1,-1.108543754555879e-2,-1.108174336415266e-2,-3.694181406129968e-6
1.255000000000000e1,-9.451546183433360e-3,-9.458208599265975e-3,6.662415832614163e-6
1.260000000000000e1,-7.386464109104185e-3,-7.402989761817498e-3,1.652565271331383e-5
1.265000000000000e1,-5.015793648213842e-3,-5.039776205606521e-3,2.398255739267854e-5
1.270000000000000e1,-2.476366665573635e-3,-2.503750219292607e-3,2.738355371897276e-5
1.275000000000000e1,9.145832778361903e-5,6.585776105391020e-5,2.560056672970883e-5
1.280000000000000e1,2.551386935985999e-3,2.533162767047225e-3,1.822416893877427e-5
1.285000000000000e1,4.778265566699417e-3,4.772588782592042e-3,5.676784107374981e-6
1.290000000000000e1,6.664285213744867e-3,6.675057528337165e-3,-1.077231459229756e-5
1.295000000000000e1,8.124014314578413e-3,8.153108738198085e-3,-2.909442361967267e-5
1.300000000000000e1,9.098037218346537e-3,9.144722221219244e-3,-4.668500287270672e-5
1.305000000000000e1,9.572219426974945e-3,9.615685819962095e-3,-4.346639298715045e-5
1.310000000000000e1,9.525852889082547e-3,9.560466761592517e-3,-3.461387250996983e-5
1.315000000000000e1,8.973526122109925e-3,9.001610557677649e-3,-2.808443556772365e-5
1.320000000000000e1,7.963881971956662e-3,7.987590027620914e-3,-2.370805566425174e-5
1.325000000000000e1,6.568277960856113e-3,6.589308887028172e-3,-2.103092617205832e-5
1.330000000000000e1,4.876085919764665e-3,4.895520112888521e-3,-1.943419312385591e-5
1.335000000000000e1,2.989194457356914e-3,3.007443206001367e-3,-1.824874864445308e-5
1.340000000000000e1,1.016042372104539e-3,1.032898863024424e-3,-1.685649091988459e-5
1.345000000000000e1,-9.344756034544943e-4,-9.197045512599945e-4,-1.477105219449982e-5
1.350000000000000e1,-2.758895188698060e-3,-2.747201441313184e-3,-1.169374738487546e-5
1.355000000000000e1,-4.364549492231659e-3,-4.357006341400600e-3,-7.543150831059060e-6
1.360000000000000e1,-5.674145003202020e-3,-5.671685938644051e-3,-2.459064557969008e-6
1.365000000000000e1,-6.629328546953939e-3,-6.632544991951675e-3,3.216444997736038e-6
1.370000000000000e1,-7.193090423122348e-3,-7.202067296267993e-3,8.976873145645145e-6
1.375000000000000e1,-7.350918309169446e-3,-7.365121355367849e-3,1.420304619840357e-5
1.380000000000000e1,-7.110687901622968e-3,-7.128911471144582e-3,1.822356952161427e-5
1.385000000000000e1,-6.501345687748858e-3,-6.521724465611306e-3,2.037877786244778e-5
1.390000000000000e1,-5.570502957447941e-3,-5.590586389117912e-3,2.008343166997120e-5
1.395000000000000e1,-4.381114899146767e-3,-4.397998944792540e-3,1.688404564577275e-5
1.400000000000000e1,-3.007461713708764e-3,-3.017969208148637e-3,1.050749443987347e-5
